x y z
"4061" 711978.91 5093926.11 471.47
"4081" 711970.37 5093714.01 468.32
"4101" 711978.19 5093925.89 471.44
"4121" 711977.36 5093927.74 471.28
"4141" 711971.21 5093785.54 469.54
"4161" 711975.73 5093930.72 471.11
"4181" 711972 5093851.24 471.04
"4201" 711975.99 5093979.01 470.33
"4221" 711967.38 5093772.48 469.39
"4241" 711973.34 5093933.53 471
"4261" 711972.35 5093931.47 470.84
"4281" 711965.57 5093778.93 469.61
"4301" 711973.41 5093980.3 470.17
"4321" 711970.67 5093933 470.77
"4341" 711964.84 5093804.26 470.52
"4361" 711971.24 5093981.32 470.12
"4381" 711962.1 5093780.07 469.66
"4401" 711969.59 5093983.45 470.1
"4421" 711961.1 5093798.82 470.22
"4441" 711959.72 5093797.21 470.57
"4461" 711964.57 5093922.78 471.1
"4481" 711963.94 5093928.61 470.96
"4501" 711957.02 5093787.69 470.37
"4521" 711964.71 5093984.59 470.06
"4541" 711951.48 5093708.37 468.4
"4561" 711963.19 5093987.25 470.03
"4581" 711953.35 5093789.5 470.31
"4601" 711961.21 5093981.8 470.28
"4621" 711950.58 5093771.1 469.63
"4641" 711960.43 5093988.83 470.15
"4661" 711952.75 5093844.43 470.89
"4681" 711948.66 5093770.9 469.65
"4701" 711959.23 5093999.17 470.67
"4721" 711947.25 5093775.01 469.76
"4741" 711952.79 5093905.4 468.94
"4761" 711946.71 5093804.67 469.17
"4781" 711946.15 5093801.14 469.74
"4801" 711950.44 5093912.2 469.11
"4821" 711940.53 5093724.28 469.17
"4841" 711953.39 5093998.84 470.57
"4861" 711936.84 5093689.52 466.23
"4881" 711938.25 5093739.88 469.81
"4901" 711940.17 5093809.59 468.65
"4921" 711935.55 5093751.32 469.95
"4941" 711931.39 5093700.41 467.02
"4961" 711937.77 5093836.67 470.29
"4981" 711937.52 5093848.84 471.16
"5001" 711930.68 5093730.48 469.01
"5021" 711935.44 5093836.03 470.34
"5041" 711933.89 5093818.9 468.11
"5061" 711939.15 5093927.91 468.15
"5081" 711928.17 5093727.89 468.76
"5101" 711939.76 5093961.25 467.66
"5121" 711925.47 5093702.51 465.97
"5141" 711933.54 5093848.75 470.56
"5161" 711932.27 5093838.29 470.11
"5181" 711930.54 5093816.92 468.33
"5201" 711932.81 5093870.53 468.22
"5221" 711929.79 5093821.96 467.93
"5241" 711927.87 5093804.48 466.88
"5261" 711930.33 5093848.54 470.46
"5281" 711921.98 5093718.08 467.02
"5301" 711926.64 5093819.41 468.04
"5321" 711924.06 5093778.31 468.73
"5341" 711925.64 5093823.08 467.96
"5361" 711928.74 5093892.8 467.34
"5381" 711920.64 5093755.39 469.13
"5401" 711924.55 5093836.7 468.91
"5421" 711923.01 5093825.62 467.92
"5441" 711918.68 5093750.9 469.04
"5461" 711931.21 5093991.83 471.01
"5481" 711911.09 5093643.24 464.73
"5501" 711920.98 5093823.75 468.14
"5521" 711929.76 5093990.84 470.92
"5541" 711915.85 5093752.86 469.03
"5561" 711919.22 5093836.45 468.31
"5581" 711914.17 5093752.17 468.94
"5601" 711927.17 5093992.56 471.07
"5621" 711920.48 5093888.02 466.85
"5641" 711906.87 5093651.02 464.84
"5661" 711914.29 5093787.64 467.83
"5681" 711925.68 5093995.43 471.34
"5701" 711917.37 5093862.61 466.75
"5721" 711905.14 5093648.88 465
"5741" 711905.66 5093661.12 464.94
"5761" 711916.37 5093858.88 466.92
"5781" 711915.91 5093865.51 466.61
"5801" 711903.74 5093652.29 465
"5821" 711902.21 5093626.7 464.48
"5841" 711906.05 5093697.14 464.95
"5861" 711915.8 5093875.55 466.58
"5881" 711919.84 5093958.17 467.76
"5901" 711909.57 5093779.04 467.2
"5921" 711900.97 5093632.51 464.91
"5941" 711902.71 5093666.82 464.8
"5961" 711913.84 5093871.05 466.59
"5981" 711913.37 5093875.88 466.66
"6001" 711904.68 5093724.14 466.28
"6021" 711898.72 5093622.54 464.65
"6041" 711900.69 5093659.47 464.89
"6061" 711911.98 5093864.21 466.54
"6081" 711919.13 5093987.12 470.92
"6101" 711910.63 5093852.95 466.52
"6121" 711898.22 5093639.74 464.87
"6141" 711898.56 5093648.22 464.97
"6161" 711910.43 5093864.41 466.54
"6181" 711910.17 5093870.96 466.31
"6201" 711900.34 5093701.38 464.77
"6221" 711896.66 5093638.22 464.87
"6241" 711908.34 5093849.69 466.9
"6261" 711915.16 5093975.68 469.05
"6281" 711905.76 5093812.65 467.46
"6301" 711894.34 5093616.77 464.32
"6321" 711896.81 5093662.89 464.77
"6341" 711907.38 5093854.65 466.62
"6361" 711915 5093986.99 470.92
"6381" 711905.41 5093830.07 467.05
"6401" 711894.21 5093635.86 464.87
"6421" 711904.21 5093815.49 467.93
"6441" 711908.83 5093901.37 467.49
"6461" 711905.49 5093850.38 466.57
"6481" 711894.44 5093656.45 464.89
"6501" 711899.44 5093743.15 468.86
"6521" 711905.53 5093860.1 466.78
"6541" 711904.78 5093856.37 466.36
"6561" 711893.95 5093665.62 464.74
"6581" 711893.48 5093659.22 464.85
"6601" 711903.08 5093832.88 466.98
"6621" 711907.66 5093921.63 467.93
"6641" 711903.36 5093847.24 466.34
"6661" 711891.56 5093636.62 464.85
"6681" 711893.43 5093673.04 464.93
"6701" 711902.18 5093832.02 467.07
"6721" 711907.58 5093936.33 467.36
"6741" 711901.59 5093827.64 467.03
"6761" 711891.67 5093651.3 464.87
"6781" 711896.68 5093740.21 468.93
"6801" 711905.99 5093919.28 467.9
"6821" 711901.03 5093834.6 466.99
"6841" 711888.24 5093605.54 463.6
"6861" 711901.71 5093854.47 467.15
"6881" 711905.75 5093936.09 467.32
"6901" 711899.2 5093813.42 467.77
"6921" 711887.49 5093603.04 463.62
"6941" 711900.84 5093853.29 467.33
"6961" 711900.65 5093855.47 467.38
"6981" 711888.72 5093634 464.82
"7001" 711898.63 5093822.82 467.33
"7021" 711903.51 5093917.07 467.87
"7041" 711903.12 5093916.24 467.96
"7061" 711894.9 5093758.25 468.72
"7081" 711889.96 5093673.64 464.8
"7101" 711899.07 5093849.29 466.92
"7121" 711904.96 5093964.89 469.27
"7141" 711897.99 5093834.18 467.29
"7161" 711887.99 5093644.69 464.78
"7181" 711896.71 5093817.94 467.17
"7201" 711904.07 5093963.92 469.15
"7221" 711897.09 5093837.57 466.98
"7241" 711885.05 5093606.46 463.97
"7261" 711895.37 5093812.75 467.02
"7281" 711902.54 5093961.22 469.3
"7301" 711891.17 5093734.87 469.08
"7321" 711896.44 5093853.54 468.11
"7341" 711899.55 5093927.61 467.87
"7361" 711893.51 5093808.38 466.82
"7381" 711886.54 5093676.38 464.91
"7401" 711899.99 5093954.54 468.98
"7421" 711893.95 5093841.13 467.07
"7441" 711883.43 5093628.93 464.83
"7461" 711893.09 5093833.59 467.78
"7481" 711898.97 5093958.08 469.58
"7501" 711889.84 5093777.41 469.29
"7521" 711884.16 5093673.28 465.01
"7541" 711894.61 5093896.49 468.71
"7561" 711889.91 5093812.51 467.14
"7581" 711890.67 5093844.78 467.21
"7601" 711891.49 5093875.06 468.39
"7621" 711880.71 5093650.68 464.95
"7641" 711889.16 5093841.97 468.2
"7661" 711893.13 5093942.71 468.79
"7681" 711880.58 5093677.04 464.66
"7701" 711887.68 5093841.76 468.42
"7721" 711887.23 5093850.06 467.29
"7741" 711881.87 5093732.29 469.16
"7761" 711892.35 5093980.19 471.01
"7781" 711880.87 5093729.37 469.24
"7801" 711881.51 5093748.51 471.09
"7821" 711885.64 5093858.16 467.99
"7841" 711884.6 5093844.68 468.54
"7861" 711877.79 5093692.74 464.91
"7881" 711879.53 5093731.07 469.19
"7901" 711887.78 5093940.49 468.84
"7921" 711882.3 5093820.02 467.79
"7941" 711873.91 5093622.95 464.81
"7961" 711878.47 5093728.62 469.19
"7981" 711883.48 5093860.65 468.16
"8001" 711885.98 5093934.68 468.64
"8021" 711879.41 5093770.51 469.36
"8041" 711874.1 5093652.2 464.86
"8061" 711881.52 5093838.55 468.44
"8081" 711886.6 5093972.61 471.46
"8101" 711878.42 5093766.35 470.25
"8121" 711874.86 5093692.09 464.84
"8141" 711884.24 5093936.52 468.7
"8161" 711880.96 5093859.73 467.88
"8181" 711871.75 5093623.44 464.81
"8201" 711883.4 5093938.24 469.06
"8221" 711880.13 5093856.93 468.33
"8241" 711871.78 5093636.46 464.77
"8261" 711879.32 5093847.1 468.39
"8281" 711883.39 5093961.11 472.02
"8301" 711872.59 5093669.61 465.03
"8321" 711876.19 5093765.55 469.92
"8341" 711882.84 5093961.95 472.12
"8361" 711878.09 5093840.35 468.5
"8381" 711870.98 5093640.2 464.81
"8401" 711878.17 5093853.63 468.48
"8421" 711880.72 5093937.8 469.26
"8441" 711875.29 5093768.96 469.05
"8461" 711877.07 5093833.53 468.53
"8481" 711877.15 5093845.64 468.54
"8501" 711870.52 5093638.28 465.26
"8521" 711876.41 5093829.97 468.29
"8541" 711881.12 5093987.76 470.11
"8561" 711874.87 5093796.2 466.03
"8581" 711874.17 5093768.24 469.02
"8601" 711878.77 5093935.41 469
"8621" 711877.37 5093890.23 469.9
"8641" 711870.02 5093644.69 464.71
"8661" 711873.64 5093775.34 467.17
"8681" 711877.56 5093930.79 469.11
"8701" 711870.28 5093670.05 464.73
"8721" 711873.82 5093808.44 466.39
"8741" 711876.66 5093926.82 469.41
"8761" 711869.44 5093655.63 464.82
"8781" 711871.51 5093726.95 469.18
"8801" 711877.05 5093954.52 472.14
"8821" 711871.05 5093726.34 469.14
"8841" 711869.77 5093692.51 464.76
"8861" 711875.44 5093930.62 469.29
"8881" 711870.47 5093725.05 469.13
"8901" 711869.39 5093698.24 464.86
"8921" 711874.23 5093928.5 469.36
"8941" 711869.99 5093727.19 469.07
"8961" 711872.15 5093842.38 469.26
"8981" 711873.45 5093926.08 469.46
"9001" 711867.95 5093673.47 464.72
"9021" 711872.47 5093898.16 469.86
"9041" 711872.28 5093906.94 470.03
"9061" 711867.03 5093649.64 464.73
"9081" 711872.16 5093922.33 469.63
"9101" 711868.75 5093749.24 469.05
"9121" 711870.37 5093867.61 468.63
"9141" 711869.11 5093825.37 467.87
"9161" 711869.18 5093844.7 468.2
"9181" 711867.33 5093750.3 468.77
"9201" 711869.39 5093920.01 469.59
"9221" 711865.95 5093724.87 468.97
"9241" 711866.94 5093824.99 467.56
"9261" 711865.31 5093747.12 468.53
"9281" 711867.45 5093937.56 470.19
"9301" 711863.38 5093698.77 464.75
"9321" 711864.37 5093786.97 466.41
"9341" 711864.19 5093830.03 467.52
"9361" 711863.11 5093748.33 468.35
"9381" 711864.34 5093916.4 469.64
"9401" 711861.19 5093677.57 464.87
"9421" 711863.24 5093869.73 468.61
"9441" 711861.69 5093807.17 467.19
"9461" 711861.35 5093802.96 467.26
"9481" 711859.97 5093720.34 469.03
"9501" 711859.29 5093796.34 466.11
"9521" 711859.46 5093834.8 467.89
"9541" 711857.23 5093697.35 464.85
"9561" 711856.94 5093766.53 466.27
"9581" 711857.99 5093908.66 470.09
"9601" 711855.43 5093703.92 466.81
"9621" 711855.01 5093767.49 466.18
"9641" 711855.92 5093944.67 472.32
"9661" 711853.86 5093716.63 468.75
"9681" 711853.82 5093831.08 467.34
"9701" 711853.08 5093718.47 468.72
"9721" 711852.56 5093786.84 466.08
"9741" 711853.52 5093902.25 470.15
"9761" 711851.57 5093735.34 468.17
"9781" 711851.68 5093836.17 467.73
"9801" 711852.1 5093903.08 470.05
"9821" 711850.08 5093741.03 467.28
"9841" 711851.04 5093920.01 469.82
"9861" 711850.23 5093866.35 468.63
"9881" 711848.5 5093735.08 467.83
"9901" 711848.93 5093853.86 469.1
"9921" 711847.12 5093782.59 466.25
"9941" 711847.13 5093848.04 468.28
"9961" 711845.2 5093785.94 466.1
"9981" 711846.65 5093899.1 469.54
"10001" 711844.14 5093795.58 466.2
"10021" 711843.25 5093812.01 466.08
"10041" 711842.26 5093819.7 466.76
"10061" 711843.81 5093928.92 470.29
"10081" 711840.39 5093807.41 466.04
"10101" 711837.99 5093748.15 466.32
"10121" 711842.06 5093968.17 471.65
"10141" 711836.53 5093753.6 466.39
"10161" 711837.18 5093849.31 467.81
"10181" 711838.38 5093943.03 471.72
"10201" 711836.31 5093884.86 468.2
"10221" 711832.63 5093793.32 466.19
"10241" 711833.67 5093871.68 468.29
"10261" 711831.62 5093809.72 465.98
"10281" 711833.7 5093924.8 469.21
"10301" 711830.68 5093837.48 466.66
"10321" 711828.44 5093799.99 465.94
"10341" 711830.5 5093881.14 468.1
"10361" 711828 5093881.35 467.96
"10381" 711830.15 5093986.65 470.31
"10401" 711825.8 5093876.22 468.38
"10421" 711822.03 5093803.47 466.28
"10441" 711824.15 5093904.04 469.04
"10461" 711821.26 5093840.82 466.88
"10481" 711817.43 5093770.13 466.18
"10501" 711824.82 5093980.19 470.54
"10521" 711816.14 5093788.92 466.2
"10541" 711818.28 5093870.19 468.39
"10561" 711816.69 5093842.4 466.95
"10581" 711815.11 5093830.61 467.82
"10601" 711816.22 5093867.63 468.19
"10621" 711811.71 5093788.14 466.1
"10641" 711813.38 5093835.03 467.42
"10661" 711809.68 5093775.48 466.25
"10681" 711810.4 5093798.2 466.23
"10701" 711811.28 5093840.94 467.37
"10721" 711810.56 5093853.29 468.15
"10741" 711814.01 5093948.58 471.41
"10761" 711802.92 5093720.71 466.6
"10781" 711814.17 5093980.56 469.91
"10801" 711801.3 5093718.54 466.53
"10821" 711808.13 5093865.91 468.29
"10841" 711800.06 5093721.07 466.55
"10861" 711801.87 5093760.89 466.68
"10881" 711804.6 5093839.75 467.53
"10901" 711798.52 5093720.43 466.5
"10921" 711810.49 5093965.51 469.95
"10941" 711797.16 5093718.51 466.57
"10961" 711798.19 5093761.88 466.83
"10981" 711808.19 5093971.17 469.63
"11001" 711794.33 5093713.94 466.39
"11021" 711803.32 5093888.93 468.02
"11041" 711793.31 5093719.5 466.51
"11061" 711801.65 5093888.6 468.1
"11081" 711792.47 5093724.11 466.4
"11101" 711799.13 5093858.38 467.57
"11121" 711798.76 5093855.83 467.46
"11141" 711790.24 5093713.91 466.36
"11161" 711798.19 5093856.86 467.41
"11181" 711790.26 5093726.25 466.43
"11201" 711797.66 5093857.48 467.56
"11221" 711789.44 5093722.38 466.31
"11241" 711797.17 5093857 467.51
"11261" 711788.6 5093718.35 466.59
"11281" 711792.1 5093784.6 466.15
"11301" 711788.14 5093717.64 466.61
"11321" 711802.9 5093968.76 469.56
"11341" 711787.53 5093717.87 466.58
"11361" 711803.65 5093986.85 469.26
"11381" 711786.2 5093705.88 464.4
"11401" 711787.71 5093729.1 466.35
"11421" 711787.36 5093731.88 466.43
"11441" 711792.39 5093815.17 466.93
"11461" 711788.3 5093755.71 467.02
"11481" 711789.97 5093785.57 466.18
"11501" 711793.59 5093850.37 467.05
"11521" 711784.08 5093703.03 464.33
"11541" 711786.86 5093745.61 467.37
"11561" 711785.27 5093732.21 466.37
"11581" 711784.92 5093727.83 466.29
"11601" 711792.21 5093852.22 467.37
"11621" 711783.57 5093720.18 466.3
"11641" 711787.93 5093790.76 466.01
"11661" 711790.69 5093840.99 466.9
"11681" 711783.27 5093727.92 466.26
"11701" 711786.4 5093778.81 466.21
"11721" 711790.15 5093847.35 466.97
"11741" 711782.59 5093733.6 466.43
"11761" 711783 5093741.39 467.15
"11781" 711797.04 5093957.55 469.36
"11801" 711783.71 5093765.51 466.08
"11821" 711780.85 5093722.9 465.99
"11841" 711781.92 5093740.32 467.1
"11861" 711787.82 5093842.58 466.77
"11881" 711780.3 5093730.97 466.24
"11901" 711777.27 5093688.44 464.29
"11921" 711781.36 5093748.65 467.18
"11941" 711792.12 5093920.38 468.79
"11961" 711779.49 5093735.15 466.69
"11981" 711778.64 5093725.16 466.02
"12001" 711786.15 5093839.3 466.74
"12021" 711785.22 5093836.05 466.77
"12041" 711775.21 5093690.6 464.53
"12061" 711777.25 5093721.46 465.83
"12081" 711786.35 5093858.16 467.81
"12101" 711788.57 5093899.13 468.16
"12121" 711774.4 5093693.78 464.58
"12141" 711776.42 5093724.18 465.99
"12161" 711791.69 5093952.69 468.95
"12181" 711778.48 5093767.87 466.06
"12201" 711773.26 5093694.23 464.28
"12221" 711793.12 5093988.77 469.34
"12241" 711772.4 5093692 464.46
"12261" 711791.03 5093969.14 469.66
"12281" 711771.77 5093697.29 464.16
"12301" 711780.26 5093822.28 467.14
"12321" 711780.27 5093827.88 466.79
"12341" 711779.9 5093826.32 466.83
"12361" 711779.47 5093827.48 466.78
"12381" 711770.04 5093690.51 464.49
"12401" 711780.18 5093846.07 467.41
"12421" 711767.63 5093662.88 464.25
"12441" 711785.33 5093932.17 469.35
"12461" 711767.29 5093667.58 464.21
"12481" 711788.73 5093991.19 469.22
"12501" 711768.39 5093693.22 464.49
"12521" 711786.38 5093967.4 469.17
"12541" 711767.84 5093697.02 463.79
"12561" 711786.69 5093989.65 469.31
"12581" 711768.47 5093715.93 465.46
"12601" 711768.02 5093716.85 465.47
"12621" 711780.44 5093914.35 468.46
"12641" 711763.32 5093654.56 466.58
"12661" 711779.57 5093925.44 468.59
"12681" 711765.14 5093698.94 463.78
"12701" 711765.08 5093710.32 465.32
"12721" 711773.1 5093845.47 467.3
"12741" 711767.29 5093760.75 466.07
"12761" 711764.17 5093711.59 465.31
"12781" 711768 5093786.9 466.07
"12801" 711763.45 5093713.22 465.31
"12821" 711762.36 5093709.74 465.28
"12841" 711762.13 5093707.69 465.29
"12861" 711776.54 5093968.98 469.33
"12881" 711760.89 5093700.26 464.19
"12901" 711761.35 5093710.34 465.28
"12921" 711760.42 5093710.08 465.3
"12941" 711760.18 5093708.45 465.27
"12961" 711759.32 5093708.46 465.31
"12981" 711770.07 5093925.85 467.45
"13001" 711758.17 5093705.98 465.27
"13021" 711757.16 5093704 465.17
"13041" 711761.28 5093788.88 466.58
"13061" 711755.55 5093689.72 464.4
"13081" 711769.3 5093977.25 468.47
"13101" 711754.71 5093693.45 464.33
"13121" 711767.93 5093987.06 468.26
"13141" 711753.46 5093684.79 464.15
"13161" 711761.15 5093856.56 466.78
"13181" 711753.33 5093702.5 465.22
"13201" 711759.79 5093855.24 466.79
"13221" 711750.92 5093674.52 465.36
"13241" 711751.44 5093709 464.7
"13261" 711761.21 5093971.32 467.85
"13281" 711749.59 5093696.91 465.2
"13301" 711759.57 5093959.05 466.4
"13321" 711750.9 5093751.8 466.63
"13341" 711748.55 5093697.26 465.25
"13361" 711758.05 5093959.17 466.27
"13381" 711757.62 5093963.04 466.38
"13401" 711747.38 5093695.69 465.25
"13421" 711749.1 5093747.33 466.63
"13441" 711756.89 5093972.51 466.54
"13461" 711747.22 5093724.32 463.22
"13481" 711751.03 5093840.74 466.75
"13501" 711753.51 5093936.59 465.63
"13521" 711744.85 5093691.51 465.34
"13541" 711751.95 5093933.07 465.44
"13561" 711747.71 5093820.29 466.24
"13581" 711751.88 5093982.24 466.38
"13601" 711741.68 5093660.24 467.65
"13621" 711750.86 5093986.25 466.34
"13641" 711743.99 5093773.92 465.9
"13661" 711744.1 5093789.61 466.92
"13681" 711746.81 5093923.58 465.29
"13701" 711740.18 5093690.21 465.57
"13721" 711745.84 5093919.22 465.44
"13741" 711743.9 5093870.87 466.5
"13761" 711739.1 5093694.5 464.43
"13781" 711742.18 5093824.79 466.11
"13801" 711745.48 5093991.72 466.44
"13821" 711738.34 5093716.36 464.28
"13841" 711740.9 5093837.23 466.46
"13861" 711738.7 5093778.48 466.38
"13881" 711738.05 5093762.87 466.1
"13901" 711740.53 5093919.65 465.45
"13921" 711737.28 5093763.37 466.17
"13941" 711738.1 5093820.7 466.71
"13961" 711739.12 5093920.16 465.65
"13981" 711735.68 5093744.16 464.5
"14001" 711737.04 5093831.67 465.98
"14021" 711736.34 5093819.52 467.01
"14041" 711735.79 5093805.96 465.55
"14061" 711735.3 5093834.53 466.04
